,query_id,statute_id,title_list,section_list,content_list
0,11,5,Housing Act 1996,s.175(5),"A person is also threatened with homelessness if a valid notice has been given to the person under section 21 of the Housing Act 1988 (orders for possession on expiry or termination of assured shorthold tenancy) in respect of the only accommodation the person has that is available for the person's occupation, and that notice will expire within 56 days."
1,11,154,Housing Act 1996,s.195a(2),"For the purpose of s.195a.1, an applicant in respect of whom a valid notice under section 21 of the Housing Act 1988 (orders for possession on expiry or termination of assured shorthold tenancy) has been given is to be treated as homeless from the date on which that notice expires."
2,11,150,Housing Act 1996,s.195(8),"The circumstances are that the authority are satisfied thatâ  (a)the applicant hasâ  (i)suitable accommodation available for occupation, and  (ii)a reasonable prospect of having suitable accommodation available for occupation for at least 6 months, or such longer period not exceeding 12 months as may be prescribed, from the date of the notice,  (b)the authority have complied with the duty under s.195.2 and the period of 56 days beginning with the day that the authority are first satisfied as mentioned in s.195.1 has ended (whether or not the applicant is still threatened with homelessness),  (c)the applicant has become homeless,  (d)the applicant has refused an offer of suitable accommodation and, on the date of refusal, there was a reasonable prospect that suitable accommodation would be available for occupation by the applicant for at least 6 months or such longer period not exceeding 12 months as may be prescribed,  (e)the applicant has become homeless intentionally from any accommodation that has been made available to the applicant as a result of the authority's exercise of their functions under s.195.2,  (f)the applicant is no longer eligible for assistance, or  (g)the applicant has withdrawn the application mentioned in section 183(1)."
3,11,153,Housing Act 1996,s.195a(1),"If within two years beginning with the date on which an applicant accepts an offer under section 193(7AA) (private rented sector offer), the applicant re-applies for accommodation, or for assistance in obtaining accommodation, and the local housing authorityâ  (a)is satisfied that the applicant is homeless and eligible for assistance, and  (b)is not satisfied that the applicant became homeless intentionally,  the duty under section 193(2) applies regardless of whether the applicant has a priority need."
4,11,4,Housing Act 1996,s.175(4),A person is threatened with homelessness if it is likely that he will become homeless within 56 days.
5,11,148,Housing Act 1996,s.195(6),"But the authority may not give notice to the applicant under s.195.5 on the basis that the circumstances in subsection s.195.8.b apply if a valid notice has been given to the applicant under section 21 of the Housing Act 1988 (orders for possession on expiry or termination of assured shorthold tenancy) thatâ  (a)will expire within 56 days or has expired, and  (b)is in respect of the only accommodation that is available for the applicant's occupation."
6,11,185,Housing Act 1996,s.200(1)(a),A local housing authority in England may not notify an applicant as mentioned in subsection (1) until the authority's duty to the applicant under section 189B(2) (initial duty owed to all eligible persons who are homeless) has come to an end.
7,11,1,Housing Act 1996,s.175(1),"A person is homeless if he has no accommodation available for his occupation, in the United Kingdom or elsewhere, which he is entitled to occupy by virtue of an interest in it or by virtue of an order of a court, has an expressed or implied licence to occupy, or occupies as a residence by virtue of any enactment or rule of law giving him the right to remain in occupation or restricting the right of another person to recover possession."
8,11,91,Housing Act 1996,s.190(1),"This section applies where - (a) the local housing authority are satisfied that an applicant is homeless and eligible for assistance, but became homeless intentionally, (b) the authority are also satisfied that the applicant has a priority need, and (c) the authority's duty to the applicant under s.189b.2 has come to an end. "
9,11,83,Housing Act 1996,s.189b(7)(a),"The applicant has suitable accommodation available for occupation, and a reasonable prospect of having suitable accommodation available for occupation for at least 6 months, or such longer period not exceeding 12 months as may be prescribed, from the date of the notice."
