,query_id,statute_id,title_list,section_list,heading_list,content_list,distance_list
0,18,770,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(1),Damp and mould growth,"1. Exposure to house dust mites, damp, mould or fungal growths.",0.4237687587738037
1,18,780,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(11),Crowding and space,11. A lack of adequate space for living and sleeping.,0.43879061937332153
2,18,774,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(5),Biocides,5. Exposure to chemicals used to treat timber and mould growth.,0.47204577922821045
3,18,784,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(15),"Domestic hygiene, pests and refuse","(1) Poor design, layout or construction such that the dwelling or HMO cannot readily be kept clean. (2) Exposure to pests. (3) An inadequate provision for the hygienic storage and disposal of household waste.",0.47266027331352234
4,18,782,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(13),Lighting,13. A lack of adequate lighting.,0.49664080142974854
5,18,788,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(19),Falls associated with baths etc,"19. Falls associated with toilets, baths, showers or other washing facilities.",0.49714308977127075
6,18,793,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(24),Fire,24. Exposure to uncontrolled fire and associated smoke.,0.49842751026153564
7,18,1138,Rent Act 1977,s.70(1)(b),Determination of fair rent,"(1)(b) if any furniture is provided for use under the tenancy, the quantity, quality and condition of the furniture;",0.5004106163978577
8,18,460,Housing Act 1985,s.84A(7),Absolute ground for possession for anti-social behaviour,"Condition 5 is thatâ (a) the tenant, or a person residing in or visiting the dwelling-house, has been convicted of an offence underâ     (i) section 80(4) of the Environmental Protection Act 1990 (breach of abatement notice in relation to statutory nuisance), or     (ii) section 82(8) of that Act (breach of court order to abate statutory nuisance etc.), and (b) the nuisance concerned was noise emitted from the dwelling-house which was a statutory nuisance for the purposes of Part 3 of that Act by virtue of section 79(1)(g) of that Act (noise emitted from premises so as to be prejudicial to health or a nuisance).",0.5013105869293213
9,18,772,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(3),Excess heat,3. Exposure to high temperatures.,0.5014311075210571
