,query_id,statute_id,title_list,section_list,heading_list,content_list,distance_list
0,10,277,Equality Act 2010,s.20(2),Duty to Make Adjustments,"The duty comprises the following three requirements.  (1)The first requirement is a requirement, where a provision, criterion or practice of A's puts a disabled person at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to avoid the disadvantage.  (2)The second requirement is a requirement, where a physical feature puts a disabled person at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to avoid the disadvantage.  (3)The third requirement is a requirement, where a disabled person would, but for the provision of an auxiliary aid, be put at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to provide the auxiliary aid.",0.4066252112388611
1,10,279,Equality Act 2010,s.20(7),Duty to Make Adjustments,"A person (A) who is subject to a duty to make reasonable adjustments is not (subject to express provision to the contrary) entitled to require a disabled person, in relation to whom A is required to comply with the duty, to pay to any extent A's costs of complying with the duty.",0.43454709649086
2,10,283,Equality Act 2010,s.21(2),Failure To Comply With Duty,A discriminates against a disabled person if A fails to comply with that duty in relation to that person.,0.4379250407218933
3,10,790,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(21),Falling on stairs etc,"21. Falling on stairs, steps or ramps where the change in level is 300 millimetres or more.",0.44731828570365906
4,10,276,Equality Act 2010,s.20(1),Duty to Make Adjustments,"Where this Act imposes a duty to make reasonable adjustments on a person, this section, sections 21 and 22 and the applicable Schedule apply; and for those purposes, a person on whom the duty is imposed is referred to as A.",0.47795218229293823
5,10,275,Equality Act 2010,s.15(1),Discrimination Arising from Disability,"A person (A) discriminates against a disabled person (B) ifâ  (a)A treats B unfavourably because of something arising in consequence of B's disability, and  (b)A cannot show that the treatment is a proportionate means of achieving a legitimate aim.  Subsection (1) does not apply if A shows that A did not know, and could not reasonably have been expected to know, that B had the disability.",0.4807133078575134
6,10,303,Equality Act 2010,n.34.1,Permission for Disposal,"If a person or body (such as a housing association) must give permission for someone to sublet, transfer or dispose of a home, they must not discriminate or retaliate against the person requesting that permission.",0.48199495673179626
7,10,815,Building Safety Act 2022,s.84(4),Management of building safety risks,The steps must be taken promptly.,0.48247402906417847
8,10,282,Equality Act 2010,s.21(1),Failure To Comply With Duty,"A failure to comply with the first, second or third requirement is a failure to comply with a duty to make reasonable adjustments.",0.4873462915420532
9,10,52,Housing Act 1996,s.188(1),Interim duty to accommodate in case of apparent priority need,"If the local housing authority have reason to believe that an applicant may be homeless, eligible for assistance and have a priority need, they must secure that accommodation is available for the applicant's occupation.",0.48822352290153503
