,query_id,statute_id,title_list,section_list,heading_list,content_list,distance_list
0,16,444,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(5),Power to issue closure notices,"A closure notice mustâ(a) identify the premises; (b) explain the effect of the notice; (c) state that failure to comply with the notice is an offence; (d) state that an application will be made under section 80 for a closure order; (e) specify when and where the application will be heard; (f) explain the effect of a closure order; (g) give information about the names of, and means of contacting, persons and organisations in the area that provide advice about housing and legal matters.",0.3191250264644623
1,16,459,Housing Act 1985,s.84A(6),Absolute ground for possession for anti-social behaviour,"Condition 4 is thatâ (a) the dwelling-house is or has been subject to a closure order under section 80 of the Anti-social Behaviour, Crime and Policing Act 2014, and (b) access to the dwelling-house has been prohibited (under the closure order or under a closure notice issued under section 76 of that Act) for a continuous period of more than 48 hours.",0.3207666873931885
2,16,473,Housing Act 1985,s.83ZA(7),Notice requirements in relation to proceedings for possession on absolute ground for anti-social behaviour,"A notice which states that the landlord proposes to rely upon condition 4 in section 84Aâ (a) must also state the closure order concerned, and (b) must be served on the tenant withinâ     (i) the period of 3 months beginning with the day on which the closure order was made, or     (ii) if there is an appeal against the making of the order, the period of 3 months beginning with the day on which the appeal is finally determined, abandoned or withdrawn.",0.3393484354019165
3,16,440,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(1),Power to issue closure notices,"A police officer of at least the rank of inspector, or the local authority, may issue a closure notice if satisfied on reasonable groundsâ(a) that the use of particular premises has resulted, or (if the notice is not issued) is likely soon to result, in nuisance to members of the public, or (b) that there has been, or (if the notice is not issued) is likely soon to be, disorder near those premises associated with the use of those premises, and that the notice is necessary to prevent the nuisance or disorder from continuing, recurring or occurring.",0.35445326566696167
4,16,441,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(2),Power to issue closure notices,"A closure notice is a notice prohibiting access to the premises for a period specified in the notice. For the maximum period, see section 77.",0.3580327332019806
5,16,448,"Anti-social Behaviour, Crime and Policing Act 2014",s.78(1),Cancellation or variation of closure notices,"This section applies where a closure notice is in force and the relevant officer or authority is no longer satisfied as mentioned in section 76(1), eitherâ (a) as regards the premises as a whole, or (b) as regards a particular part of the premises.",0.3627726435661316
6,16,443,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(4),Power to issue closure notices,"A closure notice may not prohibit access byâ(a) people who habitually live on the premises, or (b) the owner of the premises, and accordingly they must be specified under subsection (3)(a).",0.36770933866500854
7,16,445,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(6),Power to issue closure notices,"A closure notice may be issued only if reasonable efforts have been made to informâ(a) people who live on the premises (whether habitually or not), and (b) any person who has control of or responsibility for the premises or who has an interest in them, that the notice is going to be issued.",0.3729556202888489
8,16,598,Housing Act 1988,s.10A(8),Power to order transfer of tenancy in certain cases,"In particular, if the tenancy is a fixed term tenancy, the term comes to an end at the same time as if the order had not been made.",0.3827308416366577
9,16,573,Housing Act 1988,s.8(4F),Notice of proceedings for possession,"Where the landlord proposes to rely on conditionÂ 4 in GroundÂ 7A, the notice must be served on the tenant withinâ (a) the period ofÂ 3Â months beginning with the day on which the closure order was made, or (b) if there is an appeal against the making of the order, the period ofÂ 3Â months beginning with the day on which the appeal is finally determined, abandoned or withdrawn.",0.38458508253097534
