,query_id,statute_id,title_list,section_list,content_list
0,6,613,Housing Act 1988,s.14(3),"For the purposes of subsection (2)(b) above, in relation to a notice which is referred by a tenant as mentioned in subsection (1) above, an improvement is a relevant improvement if either it was carried out during the tenancy to which the notice relates or the following conditions are satisfied, namelyâ (a) that it was carried out not more than twenty-one years before the date of service of the notice; and (b) that, at all times during the period beginning when the improvement was carried out and ending on the date of service of the notice, the dwelling-house has been let under an assured tenancy; and (c) that, on the coming to an end of an assured tenancy at any time during that period, the tenant (or, in the case of joint tenants, at least one of them) did not quit."
1,6,730,Housing Act 2004,s.15(2),The general rule is that an improvement notice becomes operative at the end of the period of 21 days beginning with the day on which it is served under Part 1 of Schedule 1 (which is the period for appealing against the notice under Part 3 of that Schedule).
2,6,729,Housing Act 2004,s.15(1),This section deals with the time when an improvement notice becomes operative.
3,6,1000,Housing Act 1985,s.125(4),"Where the notice states provisions which would enable the landlord to recover from the tenantâ (a) service charges, or (b) improvement contributions, the notice shall also contain the estimates and other information required by section 125A (service charges) or 125B (improvement contributions)."
4,6,565,Housing Act 1988,s.8(3),A notice under this section is one in the prescribed form informing the tenant thatâ (a) the landlord intends to begin proceedings for possession of the dwelling-house on one or more of the grounds specified in the notice; and (b) those proceedings will not begin earlier than a date specified in the notice in accordance with subsections (3A) to (4B) below; and (c) those proceedings will not begin later than twelve months from the date of service of the notice.
5,6,604,Housing Act 1988,s.13(2),"For the purpose of securing an increase in the rent under a tenancy to which this section applies, the landlord may serve on the tenant a notice in the prescribed form proposing a new rent to take effect at the beginning of a new period of the tenancy specified in the notice, being a period beginning not earlier thanâ (a) the minimum period after the date of the service of the notice; and (b) except in the case of a statutory periodic tenancyâ    (i) in the case of an assured agricultural occupancy, the first anniversary of the date on which the first period of the tenancy began; or    (ii) in any other case, on the date that falls 52 weeks after the date on which the first period of the tenancy began."
6,6,535,Housing Act 1988,s.6(2),"Not later than the first anniversary of the day on which the former tenancy came to an end, the landlord may serve on the tenant, or the tenant may serve on the landlord, a notice in the prescribed form proposing terms of the statutory periodic tenancy different from the implied terms and, if the landlord or the tenant considers it appropriate, proposing an adjustment of the amount of the rent to take account of the proposed terms."
7,6,848,Housing Act 1985,s.25(4),"Where the notice is given for the beginning of a rental period and the tenancy continues into that period, the notice shall not have effect ifâ  (a) the tenancy is terminated by notice to quit given by the tenant in accordance with the provisions (express or implied) of the tenancy, (b) the notice to quit is given before the end of the period of two weeks following the date on which the notice of increase is given, or such longer period as may be allowed by the notice of increase, and (c) the date on which the tenancy is made to terminate is not later than the earliest day on which the tenancy could be terminated by a notice to quit given by the tenant on the last day of that period."
8,6,571,Housing Act 1988,s.8(4D),"Where the landlord proposes to rely on conditionÂ 1,Â 3 orÂ 5 in GroundÂ 7A, the notice must be served on the tenant withinâ (a) the period of 12Â months beginning with the day of the conviction, or (b) if there is an appeal against the conviction, the period ofÂ 12Â months beginning with the day on which the appeal is finally determined or abandoned."
9,6,572,Housing Act 1988,s.8(4E),"Where the landlord proposes to rely on conditionÂ 2 in GroundÂ 7A, the notice must be served on the tenant withinâ (a) the period ofÂ 12Â months beginning with the day on which the court has made the finding, or (b) if there is an appeal against the finding, the period ofÂ 12Â months beginning with the day on which the appeal is finally determined, abandoned or withdrawn."
