,query_id,statute_id,title_list,section_list,heading_list,content_list,distance_list
0,4,261,Landlord and Tenant Act 1985,s.11(6),Repairing obligations in short leases,"In a lease in which the lessorâs repairing covenant is implied there is also implied a covenant by the lessee that the lessor, or any person authorised by him in writing, may at reasonable times of the day and on giving 24 hoursâ notice in writing to the occupier, enter the premises comprised in the lease for the purpose of viewing their condition and state of repair.",0.2939999997615814
1,4,319,Housing and Regeneration Act 2008,s.199a(1),Survey: power to enter without warrant,"An authorised person may enter premises at any reasonable time, or times, to carry out a survey under section 199.",0.2940467298030853
2,4,331,Housing and Regeneration Act 2008,s.199b(3),Survey: power to enter with warrant,"A warrant under this section authorises the authorised person to enter the premises at any reasonable time, or times, using reasonable force if necessary.",0.3023161292076111
3,4,414,"Anti-social Behaviour, Crime and Policing Act 2014",s.47(5),Remedial action by local authority,"A person authorised by a local authority to carry out work under this section may enter any premises to the extent reasonably necessary for that purpose, except that a person who is only authorised to carry out work under subsection (2) may only enter land that is open to the air.",0.3033614158630371
4,4,238,Housing Act 1996,s.212(1),Protection of property: supplementary provisions,"The authority may for the purposes of section 211 (protection of property of homeless persons or persons threatened with homelessness)â  (a) enter, at all reasonable times, any premises which are the usual place of residence of the applicant or which were his last usual place of residence, and  (b) deal with any personal property of his in any way which is reasonably necessary, in particular by storing it or arranging for its storage.",0.3302711546421051
5,4,478,Housing Act 1985,s.85ZA(1),Review of decision to seek possession on absolute ground for anti-social behaviour,"A tenant may request a review of a landlord's decision to seek an order for possession of a dwelling-house under section 84A if the interest of the landlord belongs toâ (a) a local housing authority, or (b) a housing action trust.",0.33158618211746216
6,4,951,Housing Act 1985,s.93(1),Lodgers and subletting,"It is a term of every secure tenancy that the tenantâ (a) may allow any persons to reside as lodgers in the dwellingâhouse, but (b) will not, without the written consent of the landlord, sublet or part with possession of part of the dwellingâhouse.",0.33385762572288513
7,4,324,Housing and Regeneration Act 2008,s.199a(6),Survey: power to enter without warrant,"An authorised person who under this section has entered, or who is seeking to enter, premises in order to carry out a survey must produce a copy of the authorisation mentioned in section 199(3) on request by an occupier.",0.3414992690086365
8,4,325,Housing and Regeneration Act 2008,s.199a(7),Survey: power to enter without warrant,"An authorised person entering premises to carry out a survey mayâ  (a)be accompanied by such other persons, and  (b)take onto the premises such equipment or materials,  as the authorised person thinks necessary for the purposes of carrying out the survey.",0.34389325976371765
9,4,480,Housing Act 1985,s.85ZA(3),Review of decision to seek possession on absolute ground for anti-social behaviour,"On a request being duly made to it, the landlord must review its decision.",0.3439781665802002
