,query_id,statute_id,title_list,section_list,content_list
0,10,277,Equality Act 2010,s.20(2),"The duty comprises the following three requirements.  (1)The first requirement is a requirement, where a provision, criterion or practice of A's puts a disabled person at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to avoid the disadvantage.  (2)The second requirement is a requirement, where a physical feature puts a disabled person at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to avoid the disadvantage.  (3)The third requirement is a requirement, where a disabled person would, but for the provision of an auxiliary aid, be put at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to provide the auxiliary aid."
1,10,279,Equality Act 2010,s.20(7),"A person (A) who is subject to a duty to make reasonable adjustments is not (subject to express provision to the contrary) entitled to require a disabled person, in relation to whom A is required to comply with the duty, to pay to any extent A's costs of complying with the duty."
2,10,283,Equality Act 2010,s.21(2),A discriminates against a disabled person if A fails to comply with that duty in relation to that person.
3,10,276,Equality Act 2010,s.20(1),"Where this Act imposes a duty to make reasonable adjustments on a person, this section, sections 21 and 22 and the applicable Schedule apply; and for those purposes, a person on whom the duty is imposed is referred to as A."
4,10,275,Equality Act 2010,s.15(1),"A person (A) discriminates against a disabled person (B) ifâ  (a)A treats B unfavourably because of something arising in consequence of B's disability, and  (b)A cannot show that the treatment is a proportionate means of achieving a legitimate aim.  Subsection (1) does not apply if A shows that A did not know, and could not reasonably have been expected to know, that B had the disability."
5,10,303,Equality Act 2010,n.34.1,"If a person or body (such as a housing association) must give permission for someone to sublet, transfer or dispose of a home, they must not discriminate or retaliate against the person requesting that permission."
6,10,815,Building Safety Act 2022,s.84(4),The steps must be taken promptly.
7,10,282,Equality Act 2010,s.21(1),"A failure to comply with the first, second or third requirement is a failure to comply with a duty to make reasonable adjustments."
8,10,52,Housing Act 1996,s.188(1),"If the local housing authority have reason to believe that an applicant may be homeless, eligible for assistance and have a priority need, they must secure that accommodation is available for the applicant's occupation."
9,10,59,Housing Act 1996,s.189(1),"The following have a priority need for accommodation - (a) a pregnant woman or a person with whom she resides or might be reasonably expected to reside; (b) a person with whom dependent children reside or might reasonably be expected to reside; (c) a person who is vulnerable as a result of old age, mental illness or handicap or physical disability or other special reason, or with whom such a person resides or might reasonably be expected to reside; (d) a person who is homeless or threatened with homelessness as a result of an emergency such as flood, fire or other disaster; (e) a person who is homeless or threatened with homelessness as a result of that person being a victim of domestic abuse."
